source_organism_id,specimen_id,lane,R1,R2
T.gla.ins.SVG_33858,Tgi33858s3,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tgi33858s3_L5_R1_001_4oxxWLKQaY7X.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tgi33858s3_L5_R2_001_ObA81DUGuLYg.fastq.gz
T.gla.ins.SVG_33858,Tgi33858s5,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tgi33858s5_L5_R1_001_6Mo5yis8G1Rh.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tgi33858s5_L5_R2_001_dacQ8RDEwxD2.fastq.gz
T.gla.ins.SVG_33858,Tgi33858s9,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tgi33858s9_L5_R1_001_otdbyeU5maiC.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tgi33858s9_L5_R2_001_DBs082aMjN14.fastq.gz
T.ine.sp.IDN_7-tyto,Ti_7_tytos,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ti_7_tytos_L5_R1_001_oo7gyNGVgYC5.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Ti_7_tytos_L5_R2_001_gHwAb7MfYyxW.fastq.gz
T.jav.jav.IDN_103.356,Tjj103356s,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tjj103356s_L5_R1_001_v9G3GJpBITGG.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tjj103356s_L5_R2_001_KeMN9qcc2rH8.fastq.gz
T.jav.lul.FJI_22552,Tjl_22552s,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tjl_22552s_L5_R1_001_K6ThUlSg8hTj.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tjl_22552s_L5_R2_001_VM8SVOAoOwOB.fastq.gz
T.jav.lul.FJI_Futuna-Leava,Tjl_FuLeas,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tjl_FuLeas_L5_R1_001_W8G0GYxHLSTB.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tjl_FuLeas_L5_R2_001_MBoAZbel3GTm.fastq.gz
T.jav.ste.VNM_13903,Tjs_13903s,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tjs_13903s_L5_R1_001_PZjrJxbK3QQ0.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tjs_13903s_L5_R2_001_9vJgbjJ3InEL.fastq.gz
T.jav.sum.IDN_22855,Tjs_22855s,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tjs_22855s_L5_R1_001_fbyZcw4YoJse.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tjs_22855s_L5_R2_001_Z8JDgKBhjpSM.fastq.gz
T.lon.ama.PH_358290,Tla358290s,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tla358290s_L5_R1_001_iOzoWtKmtcla.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tla358290s_L5_R2_001_ooWf61SUmGmZ.fastq.gz
T.lon.ama.PH_70967,Tla_70967s,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tla_70967s_L5_R1_001_Bsc3Mah14xiW.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tla_70967s_L5_R2_001_VzSQWk1H7Z4R.fastq.gz
T.lon.pap.IDN_74886,Tlp_74886s,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tlp_74886s_L5_R1_001_ArBFmotnaCZ1.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Tlp_74886s_L5_R2_001_lsqbowpG9a0f.fastq.gz
T.ros.sp.IDN_4632,Trr_4632s,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Trr_4632s_L5_R1_001_jyZ2AawS8kHH.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Trr_4632s_L5_R2_001_fDOEZgkNYnAA.fastq.gz
T.ros.sp.IDN_4634,Trr_4634s,L5,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Trr_4634s_L5_R1_001_cpx8Anp17ICy.fastq.gz,/scratch/apulido1/museum_fastq2bam_GTFZurich_2025_3rd/fastq_files/Trr_4634s_L5_R2_001_YkRQ3S99pRdo.fastq.gz
