source_organism_id,specimen_id,lane,R1,R2
T.nig.sp.IDN_44282,Tn_44282,L6,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tnig44282_MKDL250015214-1A_23FT5YLT4_L6_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tnig44282_MKDL250015214-1A_23FT5YLT4_L6_2.fq.gz
T.ros.ros.IDN_13355,Trr_13355,L6,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tros13355_MKDL250015214-1A_23FT5YLT4_L6_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tros13355_MKDL250015214-1A_23FT5YLT4_L6_2.fq.gz
T.ros.ros.IDN_13864,Trr_13864,L6,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tros13864_MKDL250015214-1A_23FT5YLT4_L6_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tros13864_MKDL250015214-1A_23FT5YLT4_L6_2.fq.gz
T.ros.ros.IDN_10417,Trr_10417,L6,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tros10417_MKDL250015214-1A_23FT5YLT4_L6_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tros10417_MKDL250015214-1A_23FT5YLT4_L6_2.fq.gz
T.ros.ros.IDN_8267,Trr_8267,L6,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tros8267_MKDL250015214-1A_23FT5YLT4_L6_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tros8267_MKDL250015214-1A_23FT5YLT4_L6_2.fq.gz
T.ten.arf.IDN_15018,Tta_15018,L6,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tarf15018_MKDL250015214-1A_23FT5YLT4_L6_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tarf15018_MKDL250015214-1A_23FT5YLT4_L6_2.fq.gz
T.ten.arf.IDN_8268,Tta_8268,L6,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tarf8268_MKDL250015214-1A_23FT5YLT4_L6_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tarf8268_MKDL250015214-1A_23FT5YLT4_L6_2.fq.gz
T.lon.ama.PH_8269,Tla_8269,L6,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tlong8269_MKDL250015214-1A_23FT5YLT4_L6_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tlong8269_MKDL250015214-1A_23FT5YLT4_L6_2.fq.gz
T.alb.tho.STP_52428,Tat_52428,L6,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tthom52428_MKDL250015214-1A_23FT5YLT4_L6_1.fq.gz,/scratch/apulido1/museum_short.reads_2025_4th.samples.Germany/fastq2bam/fastq_files/Tthom52428_MKDL250015214-1A_23FT5YLT4_L6_2.fq.gz
